Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
25/08/2018;18;30.4;23.5;75;0;11;3;260;2;W 
26/08/2018;20;30.4;23.8;80;0;10.8;3;230;1;S 
27/08/2018;20;32.2;24.6;78;0;9.4;5;200;3;W 
28/08/2018;24;30;25.6;81;0;10.1;4;270;2;W 
29/08/2018;22;29.6;25.1;78;0;4.9;4;260;2;W 
30/08/2018;23;29.1;25.1;76;0;5.2;3;250;2;S 
31/08/2018;23;29;24.9;84;2;1.5;2;190;1;S 
01/09/2018;23;;27.5;67;0;0.6;4;180;2;S 
02/09/2018;23;;25.6;79;8888;1.8;5;270;2;W 
03/09/2018;22;29.9;25.3;77;8888;4.1;4;240;2;SW
04/09/2018;20;28.3;23.9;75;0;10.3;5;240;2;S 
05/09/2018;20;30;24.5;79;0;6.3;3;250;2;S 
06/09/2018;23;30.1;25.6;78;0;5.6;3;250;2;S 
07/09/2018;22;30.6;24.8;83;0;4;4;270;2;W 
08/09/2018;23;31.2;26.4;78;1.6;3.9;5;190;2;W 
09/09/2018;22;31.8;25.7;82;0;7.7;4;270;2;S 
10/09/2018;22;32.2;26.1;79;0;9.4;5;230;2;S 
11/09/2018;22;31.4;25.8;80;0;6.7;4;180;2;S 
12/09/2018;23;30;25.1;77;0.9;7.7;4;180;3;SW
13/09/2018;20;;24.8;76;8888;6.2;4;270;2;W 
14/09/2018;22;;24.8;76;0;6.8;4;230;2;SW
15/09/2018;20;29.9;24.3;76;0;4.2;3;250;2;S 
16/09/2018;19;31.6;24.5;77;0;6.6;4;250;2;SW
17/09/2018;22;30.6;26;78;0;10.4;5;180;2;S 
18/09/2018;23;31.1;25.8;82;0;8.4;4;270;2;W 
19/09/2018;23;31.6;25.8;83;0.2;5.4;4;250;2;S 
20/09/2018;24;30.2;25.4;87;8888;3.4;3;230;1;W 
21/09/2018;23;;27.1;76;2.6;0.1;4;260;2;W 
22/09/2018;23;34.6;27.1;77;0;8.1;5;250;2;W 
23/09/2018;22;32.2;26.8;75;0;9.5;4;170;2;W 
24/09/2018;22;32.4;26.6;76;0;9.7;4;240;2;S 
25/09/2018;22;;26.2;81;0;10.1;3;230;1;S 
26/09/2018;23;33.1;26.7;76;0;7.5;4;250;3;SW
27/09/2018;;31.6;25.8;76;0;10.1;5;270;2;W 
